id,title,checked_link,countries,date,justify,label,source,poynter_link,social_medias,tweet_id,user_id,text,text_en,created_at,geo,place_name,coordinates,user_location,likes,retweets,followers,lang,date_diff
101, russian sputnik v vaccine against covid19 provides complete protection with a single dose,https://www.efe.com/efe/espana/efeverifica/la-vacuna-rusa-necesita-dos-dosis-y-no-solo-una-como-aseguran-en-redes-sociales/50001435-4458463,Spain,2/5/2021,explanation the russian drug is developed in a twodose schedule to achieve its highest immunity potential 916 and there is still no evidence that a single serving will give full efficacy,FALSE, EFE Verifica,https://www.poynter.org/?ifcn_misinformation=russian-sputnik-v-vaccine-against-covid-19-provides-complete-protection-with-a-single-dose,1,_1356639826305568768,_1043654215116177411,Resulta que ahora la vacuna Rusa es la mÃ¡s efectiva  sirve para todas las edades y es tan tan buena que con una solâ€¦ https://t.co/HE9GuRANJB,It turns out that now the Russian vaccine is the most effective is for all ages and is so so good that a single € | https://t.co/HE9GuRANJB,2/2/2021,None,,None,Chetoslovaquia,329,76,9743,es,3
2133, covid  19 is a bacteria amplified by 5g technology,https://colombiacheck.com/chequeos/video-mezcla-teorias-conspirativas-sobre-covid-19-e-invita-la-automedicacion,Colombia,8/6/2020,explanation covid19 is not a bacteria amplified by 5g technology  nor will a chip be implanted with the vaccine and no  dont selfmedicate as this video suggests,FALSE, Colombiacheck,https://www.poynter.org/?ifcn_misinformation=covid-19-is-a-bacteria-amplified-by-5g-technology,1,_1217849725854023680,_38508530,Encuesta de @usnews NO es nuestra. El Ãndice de PercepciÃ³n de la CorrupciÃ³n de @anticorruption se lanzarÃ¡ el 23 deâ€¦ https://t.co/td1ERvPOcZ,@Usnews survey is not ours. The NewsAsia of perception of corruption of @anticorruption is 23 Dea propels € | https://t.co/td1ERvPOcZ,1/16/2020,None,,None,BogotÃ¡  D.C.,59,26,31785,es,203
2139, a post spreading on whatsapp claims there are 50 hospital guards job oppenings at ifema hospital in madrid,https://maldita.es/malditobulo/20200806/50-celadores-ifema-coronavirus-comunidad-madrid/,Spain,8/6/2020,explanation it is not a real actual job offer  according with regional health department,FALSE, Maldita.es,https://www.poynter.org/?ifcn_misinformation=a-post-spreading-on-whatsapp-claims-there-are-50-hospital-guards-job-oppenings-at-ifema-hospital-in-madrid,1,_1241752527705722881,_101505372,URGENTE.,URGENT.,,,,,,,,,,-1"Necesitamos celadores para el IFEMA. Ayer estuvimos llamando pero no conseguimos ninguno. Hoy a partir deâ€¦ https://t.co/xLXiem5qX4""",2020-03-22 15:44:07,None,,None,,1352,3264,1812,es,,,,,,,,,,,,,,-1
2143, coronavirus covid19 is large in size where the cell diameter is 400500 micro and for this reason any mask may prevent its entry  unicef,https://www.vishvasnews.com/viral/fact-check-viral-post-on-coronavirus-by-the-name-of-unicef-is-fake/,India,8/6/2020,explanation the viral message on coronavirus covid19 is neither from unicef nor accurate,FALSE, Vishvas News,https://www.poynter.org/?ifcn_misinformation=coronavirus-covid-19-is-large-in-size-where-the-cell-diameter-is-400-500-micro-and-for-this-reason-any-mask-may-prevent-its-entry-unicef,1,_1236324641397858304,_79938654,âš ï¸ Misinformation on COVID-19 ,âš ï¸ Misinformation on COVID-19 ,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,-1"UNICEF does not issue coronavirus advisories on chat apps. We post updates and safeâ€¦ https://t.co/kuwi9EbOK4""",2020-03-07 16:15:38,None,,None,Manila  Philippines,3982,3392,52842,en,,,,,,,,,,,,,,-1
2149, police can raid private spaces in medellÃ­n for breach of the dry law,https://colombiacheck.com/chequeos/la-policia-no-puede-allanar-espacios-privados-en-medellin-por-incumplimiento-de-ley-seca,Colombia,8/5/2020,explanation the mayor of medellÃ­n ordered the metropolitan police to enter the parties that are presented in private spaces for alcohol consumption parties can be raided for public health violations  but not to prevent people from drinking alcohol,FALSE, Colombiacheck,https://www.poynter.org/?ifcn_misinformation=police-can-raid-private-spaces-in-medellin-for-breach-of-the-dry-law,1,_1158757499991986176,_1130966492047183874,#AEstaHora Firmamos el acuerdo programÃ¡tico con @ColombiaHumana_ @UP_Colombia para trabajar juntos por la reconciliâ€¦ https://t.co/Bbj8sifa9c,#AEstaHora We signed the agreement with @ColombiaHumana_ programÃ¡tico @UP_Colombia to work together for reconciles € | https://t.co/Bbj8sifa9c,8/6/2019,None,,None,NariÃ±o  Colombia,29,9,1183,es,365
2149, police can raid private spaces in medellÃ­n for breach of the dry law,https://colombiacheck.com/chequeos/la-policia-no-puede-allanar-espacios-privados-en-medellin-por-incumplimiento-de-ley-seca,Colombia,8/5/2020,explanation the mayor of medellÃ­n ordered the metropolitan police to enter the parties that are presented in private spaces for alcohol consumption parties can be raided for public health violations  but not to prevent people from drinking alcohol,FALSE, Colombiacheck,https://www.poynter.org/?ifcn_misinformation=police-can-raid-private-spaces-in-medellin-for-breach-of-the-dry-law,1,_1156641719162720261,_49849732,Luis Eladio PÃ©rez es el candidato de Colombia Humana a la gobernaciÃ³n de NariÃ±o. https://t.co/scjyUx8ovm,Luis Eladio PÃ © rez is the candidate of Colombia Humana to gobernaciÃ³n of NARIA ± o. https://t.co/scjyUx8ovm,7/31/2019,None,,None,ÃœT: 4.650541 -74.074043,2275,538,4079336,es,371
2149, police can raid private spaces in medellÃ­n for breach of the dry law,https://colombiacheck.com/chequeos/la-policia-no-puede-allanar-espacios-privados-en-medellin-por-incumplimiento-de-ley-seca,Colombia,8/5/2020,explanation the mayor of medellÃ­n ordered the metropolitan police to enter the parties that are presented in private spaces for alcohol consumption parties can be raided for public health violations  but not to prevent people from drinking alcohol,FALSE, Colombiacheck,https://www.poynter.org/?ifcn_misinformation=police-can-raid-private-spaces-in-medellin-for-breach-of-the-dry-law,1,_1169443989277347840,_1130966492047183874,Muchas gracias @petrogustavo por su respaldo a mi candidatura a la GobernaciÃ³n de NariÃ±o. Compartimos el mismo deseâ€¦ https://t.co/rAfotuPg2E,@Petrogustavo Many thanks for your support for my candidacy for GobernaciÃ³n of NARIA ± o. We share the same € WISHES | https://t.co/rAfotuPg2E,9/5/2019,None,,None,NariÃ±o  Colombia,891,305,1183,es,335
2149, police can raid private spaces in medellÃ­n for breach of the dry law,https://colombiacheck.com/chequeos/la-policia-no-puede-allanar-espacios-privados-en-medellin-por-incumplimiento-de-ley-seca,Colombia,8/5/2020,explanation the mayor of medellÃ­n ordered the metropolitan police to enter the parties that are presented in private spaces for alcohol consumption parties can be raided for public health violations  but not to prevent people from drinking alcohol,FALSE, Colombiacheck,https://www.poynter.org/?ifcn_misinformation=police-can-raid-private-spaces-in-medellin-for-breach-of-the-dry-law,1,_1150449532255318017,_49849732,Nuestra candidata por Colombia Humana y la convergencia por la Democracia a la alcaldÃ­a de Pasto  NariÃ±oâ€¦ https://t.co/LcYmKmYIuN,Our candidate for Colombia Humana and Convergence for Democracy mayoral Pasto NARIA ± Oâ € | https://t.co/LcYmKmYIuN,7/14/2019,None,,None,ÃœT: 4.650541 -74.074043,932,325,4079336,es,388
2155, if masks were effective and necessary nonmask wearers should be dead by now,https://healthfeedback.org/claimreview/wearing-masks-aims-at-slowing-sars-cov-2-circulation-not-protecting-against-a-certain-death/,UnitedStates,8/5/2020,explanation in order to limit and eventually stop an ongoing epidemic  it is necessary to reduce virus transmission wearing face masks has been shown to be effective at slowing the circulation of respiratory viruses such as sarscov2 some individuals who do not wear masks may still remain healthy because exposure to sarscov2 does not automatically lead to infection or death in addition  the use of masks by others within the community can also limit virus transmission  thereby protecting those who do not wear masks  similar to the herd immunity effect,FALSE, Science Feedback,https://www.poynter.org/?ifcn_misinformation=if-masks-were-effective-and-necessary-non-mask-wearers-should-be-dead-by-now,1,_1257392351112302594,_67069351,2/ 445 close contacts of 10 #COVID19 cases were followed up  of those 54 (12%) developed symptoms  suggesting seconâ€¦ https://t.co/muduclu1Pw,2/ 445 close contacts of 10 #COVID19 cases were followed up  of those 54 (12%) developed symptoms  suggesting seconâ€¦ https://t.co/muduclu1Pw,5/4/2020,None,,None,Scotland ,614,166,134123,en,93
2154, an image appearing to be an publication by the world health organization who shows that the global health body does not recommend maskwearing during the covid19 pandemic,https://factcheck.afp.com/fake-who-document-shared-anti-mask-posts,UnitedStates,8/5/2020,explanation the who said the document did not originate from them and includes cherry picked studies the agency  like numerous other health bodies  recommends mask wearing to help curb the spread of the novel coronavirus,FALSE, AFP,https://www.poynter.org/?ifcn_misinformation=an-image-appearing-to-be-an-publication-by-the-world-health-organization-who-shows-that-the-global-health-body-does-not-recommend-mask-wearing-during-the-covid-19-pandemic,1,_1268270867399634944,_24918951,If you catch the #coronavirus  what are your chances of having no symptoms? Probably around 40%. But you can stillâ€¦ https://t.co/ryqHWi9VnG,If you catch the #coronavirus  what are your chances of having no symptoms? Probably around 40%. But you can stillâ€¦ https://t.co/ryqHWi9VnG,6/3/2020,None,,None,San Diego  CA,380,260,992,en,63
2156, fact check neither the viral post on coronavirus covid19 is from unicef nor it is accurate,https://www.vishvasnews.com/english/health/fact-check-neither-the-viral-post-on-coronavirus-covid-19-is-from-unicef-nor-it-is-accurate/,India,8/5/2020,explanation the viral message on coronavirus covid19 is neither from unicef nor accurate,FALSE, Vishvas News,https://www.poynter.org/?ifcn_misinformation=fact-check-neither-the-viral-post-on-coronavirus-covid-19-is-from-unicef-nor-it-is-accurate,1,_1236324641397858304,_79938654,âš ï¸ Misinformation on COVID-19 ,âš ï¸ Misinformation on COVID-19 ,,,,,,,,,,-1
2153, activist renato reyes jr and others who attended a rally at the university of the philippines up diliman have contracted covid19,https://verafiles.org/articles/vera-files-fact-check-story-claiming-activist-renato-reyes-p,Philippines,8/5/2020,explanation the claim about the protesters is not supported by the up announcement  news reports and reyes himself neither did the storys text  which focused on ups report  reflect it,FALSE, VERA Files,https://www.poynter.org/?ifcn_misinformation=activist-renato-reyes-jr-and-others-who-attended-a-rally-at-the-university-of-the-philippines-up-diliman-have-contracted-covid-19,3,_1288470753155772417,_1968194946,UPD-Bulletin-2020-30,UPD-Bulletin 2020-30,,,,,,,,,,-1"Kinukumpirma ng UPD COVID-19 Task Force na base sa ulat ng UPHS Public Health Unit kahapon Huâ€¦ https://t.co/S5N6zYm2Rs""",2020-07-29 13:45:40,None,,None,Diliman  Quezon City,66,36,78449,tl,,,,,,,,,,,,,,-1
2153, activist renato reyes jr and others who attended a rally at the university of the philippines up diliman have contracted covid19,https://verafiles.org/articles/vera-files-fact-check-story-claiming-activist-renato-reyes-p,Philippines,8/5/2020,explanation the claim about the protesters is not supported by the up announcement  news reports and reyes himself neither did the storys text  which focused on ups report  reflect it,FALSE, VERA Files,https://www.poynter.org/?ifcn_misinformation=activist-renato-reyes-jr-and-others-who-attended-a-rally-at-the-university-of-the-philippines-up-diliman-have-contracted-covid-19,3,_1288499659506192384,_1968194946,UPD-Bulletin-2020-30.2,UPD-Bulletin 2020-30.2,,,,,,,,,,-1"Ito ay para linawin ang statistics na nakasaad sa Bulletin 2020-30. Humihingi kami ng paumaâ€¦ https://t.co/SnpaIqL70k""",2020-07-29 15:40:32,None,,None,Diliman  Quezon City,45,17,78449,tl,,,,,,,,,,,,,,-1
2178, an image says that hydroxychloroquine zinc and azithromycin cure the coronavirus,https://lasillavacia.com/detector-publicacion-falsa-sobre-protestas-berlin-covid-77816,Colombia,8/4/2020,explanation there is not scientific evidence to prove that those medications cure the virus,FALSE, La Silla VacÃ­a,https://www.poynter.org/?ifcn_misinformation=an-image-says-that-hydroxychloroquine-zinc-and-azithromycin-cure-the-coronavirus,3,_1289629736201838595,_807095,This was the scene in Berlin  where an estimated 17 000 people defied social-distancing and mask requirements to joâ€¦ https://t.co/pQaPNf9ENJ,This was the scene in Berlin  where an estimated 17 000 people defied social-distancing and mask requirements to joâ€¦ https://t.co/pQaPNf9ENJ,8/1/2020,None,,None,New York City,5206,2421,49625840,en,3
2202, a photo collage has been shared hundreds of times in multiple posts on facebook alongside a claim the images were taken during a protest against coronavirus restrictions in germany in august 2020,https://factcheck.afp.com/these-photos-have-circulated-reports-about-black-lives-matter-protests-germany-june-2020,Australia,8/2/2020,explanation the claim is false all four photos have circulated in reports about black lives matter protests across germany in june 2020,FALSE, AFP,https://www.poynter.org/?ifcn_misinformation=a-photo-collage-has-been-shared-hundreds-of-times-in-multiple-posts-on-facebook-alongside-a-claim-the-images-were-taken-during-a-protest-against-coronavirus-restrictions-in-germany-in-august-2020,1,_1269245409047822340,_147285556,#Jungfernstieg wegen ÃœberfÃ¼llung geschlossen,closed #Jungfernstieg because ÃœberfÃ¼llung,,,,,,,,,,-1"#Hamburg #solidarity #GeorgeFloyd #blacklivesmatter #hh0606 https://t.co/7LkGqqTFMz""",2020-06-06 12:31:01,None,,None,Hamburg,451,104,5612,de,,,,,,,,,,,,,,-1
2202, a photo collage has been shared hundreds of times in multiple posts on facebook alongside a claim the images were taken during a protest against coronavirus restrictions in germany in august 2020,https://factcheck.afp.com/these-photos-have-circulated-reports-about-black-lives-matter-protests-germany-june-2020,Australia,8/2/2020,explanation the claim is false all four photos have circulated in reports about black lives matter protests across germany in june 2020,FALSE, AFP,https://www.poynter.org/?ifcn_misinformation=a-photo-collage-has-been-shared-hundreds-of-times-in-multiple-posts-on-facebook-alongside-a-claim-the-images-were-taken-during-a-protest-against-coronavirus-restrictions-in-germany-in-august-2020,1,_1269248785047343104,_1450022287,Aktuell auf dem #Alexanderplatz: â€žSind die Abstandsregeln heute ausgesetzt Herr Innensenator? Das bekommen sie mitâ€¦ https://t.co/fkfjwgvEu6,"Recently, on the #Alexanderplatz: € â žSind the spacing rules suspended today mistresses Senator? They get Mita € | https://t.co/fkfjwgvEu6",6/6/2020,None,,None,10559 Berlin  Alt-Moabit 96a,4176,1462,11776,de,57
