id,title,checked_link,countries,date,justify,label,source,poynter_link,social_medias,tweet_id,user_id,text,created_at,geo,place_name,coordinates,user_location,likes,retweets,followers,lang
35, colombia is the last country in south america to start vaccination according to gustavo bolívar,https://colombiacheck.com/chequeos/colombia-no-es-el-ultimo-pais-en-iniciar-la-vacunacion-como-trino-gustavo-bolivar,Colombia,2021-02-15,explanation there are other countries that have not started immunization paraguay and uruguay  for example  have not received the first doses,FALSE, Colombiacheck,https://www.poynter.org/?ifcn_misinformation=colombia-is-the-last-country-in-south-america-to-start-vaccination-according-to-gustavo-bolivar,1,_1360810292729573376,_50981729,"Hasta Venezuela pudo. Solo faltaba eso para graduar a Duque de inepto. Colombia último país de Sur America en com… https://t.co/toNRE56Fop",2021-02-14 04:37:11,None,,None,Escritor empresario  demócrata,16671,5233,1040953,es
410, a video that shows a long queue of people to enter a covid19 makeshift hospital in the indonesian capital jakarta,https://factcheck.afp.com/video-shows-people-queueing-covid-19-quarantine-centre-malaysia,Indonesia,2021-01-14,explanation the video actually shows a queue at a covid19 care centre in malaysia,FALSE, AFP,https://www.poynter.org/?ifcn_misinformation=a-video-that-shows-a-long-queue-of-people-to-enter-a-covid-19-makeshift-hospital-in-the-indonesian-capital-jakarta,3,_1347194592580362248,_291574437,Ramainya 😭😭😭😭😭😭😭 https://t.co/VKNeTi7DRR,2021-01-07 14:53:15,None,Kuala Lumpur,None,johor bahru malaysia,7513,8880,1276,in
831, a claim of an old family photo of turkishgerman scientist ugur sahin who developed a covid19 vaccine,https://factcheck.afp.com/not-family-photo-covid-19-vaccine-inventor-ugur-sahin,Pakistan- Belgium,2020-12-11,explanation this photo does not show sahin nor his family,FALSE, AFP,https://www.poynter.org/?ifcn_misinformation=a-claim-of-an-old-family-photo-of-turkish-german-scientist-ugur-sahin-who-developed-a-covid-19-vaccine,1,_1336785762759663618,_3038306092,A muslim immigrant family. The boy in the yellow shirt will go on to invent the vaccine for COVID-19. https://t.co/SRL3H936BQ,2020-12-09 21:32:16,None,,None,,285,53,1582,en
831, a claim of an old family photo of turkishgerman scientist ugur sahin who developed a covid19 vaccine,https://factcheck.afp.com/not-family-photo-covid-19-vaccine-inventor-ugur-sahin,Pakistan- Belgium,2020-12-11,explanation this photo does not show sahin nor his family,FALSE, AFP,https://www.poynter.org/?ifcn_misinformation=a-claim-of-an-old-family-photo-of-turkish-german-scientist-ugur-sahin-who-developed-a-covid-19-vaccine,1,_1335388550683009027,_30367834,"A family of Muslim immigrants from Turkey newly arrived in Germany.The boy in the yellow t-shirt went on to lead… https://t.co/QesQ5XF5tH",2020-12-06 01:00:15,None,,None,,34584,9385,33559,en
831, a claim of an old family photo of turkishgerman scientist ugur sahin who developed a covid19 vaccine,https://factcheck.afp.com/not-family-photo-covid-19-vaccine-inventor-ugur-sahin,Pakistan- Belgium,2020-12-11,explanation this photo does not show sahin nor his family,FALSE, AFP,https://www.poynter.org/?ifcn_misinformation=a-claim-of-an-old-family-photo-of-turkish-german-scientist-ugur-sahin-who-developed-a-covid-19-vaccine,1,_1330878514938212356,_1114879765,"Na fotki staroj 50 godina je turska imigrantska porodica u Njemčkoj.U žutoj majici  stoji Uğur Şahin  danas njemač… https://t.co/3xpbWhCqOb",2020-11-23 14:18:59,None,Montenegro,None,Podgorica,2494,195,2045,und
831, a claim of an old family photo of turkishgerman scientist ugur sahin who developed a covid19 vaccine,https://factcheck.afp.com/not-family-photo-covid-19-vaccine-inventor-ugur-sahin,Pakistan- Belgium,2020-12-11,explanation this photo does not show sahin nor his family,FALSE, AFP,https://www.poynter.org/?ifcn_misinformation=a-claim-of-an-old-family-photo-of-turkish-german-scientist-ugur-sahin-who-developed-a-covid-19-vaccine,1,_1336785762759663618,_3038306092,A muslim immigrant family. The boy in the yellow shirt will go on to invent the vaccine for COVID-19. https://t.co/SRL3H936BQ,2020-12-09 21:32:16,None,,None,,285,53,1582,en
831, a claim of an old family photo of turkishgerman scientist ugur sahin who developed a covid19 vaccine,https://factcheck.afp.com/not-family-photo-covid-19-vaccine-inventor-ugur-sahin,Pakistan- Belgium,2020-12-11,explanation this photo does not show sahin nor his family,FALSE, AFP,https://www.poynter.org/?ifcn_misinformation=a-claim-of-an-old-family-photo-of-turkish-german-scientist-ugur-sahin-who-developed-a-covid-19-vaccine,1,_1335388550683009027,_30367834,"A family of Muslim immigrants from Turkey newly arrived in Germany.The boy in the yellow t-shirt went on to lead… https://t.co/QesQ5XF5tH",2020-12-06 01:00:15,None,,None,,34584,9385,33559,en
831, a claim of an old family photo of turkishgerman scientist ugur sahin who developed a covid19 vaccine,https://factcheck.afp.com/not-family-photo-covid-19-vaccine-inventor-ugur-sahin,Pakistan- Belgium,2020-12-11,explanation this photo does not show sahin nor his family,FALSE, AFP,https://www.poynter.org/?ifcn_misinformation=a-claim-of-an-old-family-photo-of-turkish-german-scientist-ugur-sahin-who-developed-a-covid-19-vaccine,1,_1330878514938212356,_1114879765,"Na fotki staroj 50 godina je turska imigrantska porodica u Njemčkoj.U žutoj majici  stoji Uğur Şahin  danas njemač… https://t.co/3xpbWhCqOb",2020-11-23 14:18:59,None,Montenegro,None,Podgorica,2494,195,2045,und
831, a claim of an old family photo of turkishgerman scientist ugur sahin who developed a covid19 vaccine,https://factcheck.afp.com/not-family-photo-covid-19-vaccine-inventor-ugur-sahin,Pakistan- Belgium,2020-12-11,explanation this photo does not show sahin nor his family,FALSE, AFP,https://www.poynter.org/?ifcn_misinformation=a-claim-of-an-old-family-photo-of-turkish-german-scientist-ugur-sahin-who-developed-a-covid-19-vaccine,1,_1336785762759663618,_3038306092,A muslim immigrant family. The boy in the yellow shirt will go on to invent the vaccine for COVID-19. https://t.co/SRL3H936BQ,2020-12-09 21:32:16,None,,None,,285,53,1582,en
831, a claim of an old family photo of turkishgerman scientist ugur sahin who developed a covid19 vaccine,https://factcheck.afp.com/not-family-photo-covid-19-vaccine-inventor-ugur-sahin,Pakistan- Belgium,2020-12-11,explanation this photo does not show sahin nor his family,FALSE, AFP,https://www.poynter.org/?ifcn_misinformation=a-claim-of-an-old-family-photo-of-turkish-german-scientist-ugur-sahin-who-developed-a-covid-19-vaccine,1,_1335388550683009027,_30367834,"A family of Muslim immigrants from Turkey newly arrived in Germany.The boy in the yellow t-shirt went on to lead… https://t.co/QesQ5XF5tH",2020-12-06 01:00:15,None,,None,,34584,9385,33559,en
