,title,text,claimDate,reviewDate,claimant,publisher,url,label,poynter,poynter_title,poynter_link
0,#Verificamos: É falso que vacinas contra Covid-19 causaram a ...,“181 americanos morreram em razão das vacinas contra covid em apenas duas semanas”,2021-02-05T19:21:19Z,2021-02-05T19:21:19Z,Post no Facebook,UOL,https://piaui.folha.uol.com.br/lupa/2021/02/05/verificamos-vacinas-morte-estados-unidos/,Falso,1,vaccines killed 181 people in the united states,https://piaui.folha.uol.com.br/lupa/2021/02/05/verificamos-vacinas-morte-estados-unidos/
1,,Indonesia's GeNose machine has accuracy of 99.9 percent to detect Covid-19 and the results can be obtained in 10 seconds,2021-01-30T00:00:00Z,2021-02-05T08:53:00Z,Multiple sources,AFP Fact Check,https://factcheck.afp.com/social-media-posts-mislead-reliability-indonesias-covid-19-breathalyser-machines,Misleading,1,coronavirus breathalyser tests can provide a covid19 result within 10 seconds at a 999 percent accuracy rate,https://factcheck.afp.com/social-media-posts-mislead-reliability-indonesias-covid-19-breathalyser-machines
2,Videonun Çin'de anal sürüntü testinden çıkan çocukları gösterdiği ...,Videonun Çin'de anal sürüntü testinden çıkan çocukları gösterdiği iddiası,2021-01-30T00:00:00Z,2021-02-05T00:00:00Z,Sosyal Medya,Teyit.org,https://teyit.org/analiz-videonun-cinde-anal-suruntu-testinden-cikan-cocuklari-gosterdigi-iddiasi,Yanlış,1,video shows children coming out of anal swab test in china,https://teyit.org/analiz-videonun-cinde-anal-suruntu-testinden-cikan-cocuklari-gosterdigi-iddiasi
3,Doctors administering COVID-19 vaccines aren't guilty of war crimes,"Doctors and nurses who administer the coronavirus vaccine can be ""tried as war criminals.""",2021-02-06T00:00:00Z,,Bloggers,PolitiFact,https://www.politifact.com/factchecks/2021/feb/11/blog-posting/doctors-administering-covid-19-vaccines-arent-guil/,Pants on Fire,1,doctors and nurses who administer the coronavirus vaccine can be tried as war criminals,https://www.politifact.com/factchecks/2021/feb/11/blog-posting/doctors-administering-covid-19-vaccines-arent-guil/
4,Ni el tapabocas hace sumisa a la gente ni es un invento árabe para ...,Árabes descubrieron que cubrir nariz y boca quiebra la individualidad,,2021-02-07T01:47:18Z,,ColombiaCheck,https://colombiacheck.com/chequeos/ni-el-tapabocas-hace-sumisa-la-gente-ni-es-un-invento-arabe-para-someter-mujeres,Falso,1,the mask was discovered by the arabs and is related to the islamic veil,https://colombiacheck.com/chequeos/ni-el-tapabocas-hace-sumisa-la-gente-ni-es-un-invento-arabe-para-someter-mujeres
5,,La policía hizo un rastreo en un Lidl de Gijón y descubrió a 11 personas positivas en COVID-19 haciendo la compra,,2021-02-05T00:00:00Z,,Maldita.es,https://maldita.es/malditobulo/20210205/policia-descubierto-11-personas-positivas-covid-19-lidl-gijon/,Falso,1,the police has discovered 11 people who tested positive for covid19 in a lidl gijón asturias,https://maldita.es/malditobulo/20210205/policia-descubierto-11-personas-positivas-covid-19-lidl-gijon/
6,Audio del 'homeópata' Rubén Carvajal es una mezcla de ideas ...,El coronavirus es inofensivo,,2021-02-05T21:17:18Z,,ColombiaCheck,https://colombiacheck.com/chequeos/audio-del-homeopata-ruben-carvajal-es-una-mezcla-de-ideas-falsas-sobre-el-covid-19,Falso,1,the coronavirus is harmless it has caused deaths due to wrong medical protocols,https://colombiacheck.com/chequeos/audio-del-homeopata-ruben-carvajal-es-una-mezcla-de-ideas-falsas-sobre-el-covid-19
7,,Blowing vape smoke through face masks shows that they do not help prevent the spread of coronavirus,2020-09-06T00:00:00Z,2021-02-06T01:52:00Z,multiple sources,AFP Fact Check,https://factcheck.afp.com/doctor-expired-license-falsely-claims-masks-dont-work,False,1,a man blowing vape smoke through various face masks shows that they do not help prevent the spread of coronavirus,https://factcheck.afp.com/doctor-expired-license-falsely-claims-masks-dont-work
8,,Merck Scraps COVID Vaccines; Says It’s More Effective To Get The Virus And Recover,2021-01-26T00:00:00Z,2021-02-08T22:48:00Z,Multiple sources,AFP Fact Check,https://factcheck.afp.com/article-misleads-mercks-decision-drop-covid-19-vaccines,Missing context,1,us pharmaceutical company merck discontinued covid19 vaccine research and said recovering from the virus would be more effective,https://factcheck.afp.com/article-misleads-mercks-decision-drop-covid-19-vaccines
9,#Verificamos: É falso que estudo da USP comprovou eficácia da ...,COVID-19: estudo da USP comprova eficácia da hidroxicloroquina e da azitromicina,2021-02-08T17:46:33Z,2021-02-08T17:46:33Z,Post no Facebook,UOL,https://piaui.folha.uol.com.br/lupa/2021/02/08/verificamos-usp-estudo-coronavirus/,Falso,1,a study from university of são paulo proved hidroxychloroquine and azitromicin are effective against covid19,https://piaui.folha.uol.com.br/lupa/2021/02/08/verificamos-usp-estudo-coronavirus/
